date, pm25, pm10
2020/12/1, 37, 31
2020/12/2, 59, 31
2020/12/3, 60, 31
2020/12/4, 59, 26
2020/12/5, 43, 29
2020/12/6, 63, 24
2020/12/7, 48, 
2020/11/1, 72, 39
2020/11/2, 43, 47
2020/11/3, 80, 50
2020/11/4, 96, 57
2020/11/5, 117, 68
2020/11/6, 126, 59
2020/11/7, 116, 61
2020/11/8, 124, 62
2020/11/9, 115, 64
2020/11/10, 131, 62
2020/11/11, 122, 52
2020/11/12, 102, 46
2020/11/13, 85, 52
2020/11/14, 111, 48
2020/11/15, 91, 57
2020/11/16, 97, 57
2020/11/17, 126, 60
2020/11/18, 105, 65
2020/11/19, 113, 47
2020/11/20, 75, 52
2020/11/21, 98, 
2020/11/22, 113, 45
2020/11/23, 123, 37
2020/11/24, 73, 41
2020/11/25, 73, 44
2020/11/26, 80, 35
2020/11/27, 69, 47
2020/11/28, 89, 29
2020/11/29, 47, 18
2020/11/30, 31, 18
2020/10/27, 9, 41
2020/10/28, 7, 50
2020/10/29, 14, 50
2020/10/31, 77, 38
2020/9/1, 109, 61
2020/9/2, 135, 45
2020/9/3, 91, 47
2020/9/4, 88, 58
2020/9/5, 132, 57
2020/9/6, 128, 63
2020/9/7, 118, 
2020/9/8, 110, 
2020/9/9, 111, 
2020/9/10, 137, 
2020/9/11, 130, 57
2020/9/12, 137, 56
2020/9/13, 115, 62
2020/9/14, 117, 57
2020/9/15, 123, 56
2020/9/16, 104, 61
2020/9/17, 92, 57
2020/9/18, 106, 64
2020/9/19, 114, 38
2020/9/20, 69, 43
2020/9/21, 85, 40
2020/9/22, 84, 52
2020/9/23, 114, 53
2020/8/1, 129, 66
2020/8/2, 142, 69
2020/8/3, 137, 69
2020/8/4, 130, 60
2020/8/5, 138, 64
2020/8/6, 142, 57
2020/8/7, 131, 53
2020/8/8, 121, 46
2020/8/9, 110, 57
2020/8/10, 125, 60
2020/8/11, 134, 57
2020/8/12, 116, 33
2020/8/13, 90, 35
2020/8/14, 91, 62
2020/8/15, 97, 26
2020/8/16, 94, 41
2020/8/17, 106, 50
2020/8/18, 130, 61
2020/8/19, 120, 45
2020/8/20, 95, 42
2020/8/21, 74, 58
2020/8/22, 111, 63
2020/8/23, 125, 57
2020/8/24, 115, 53
2020/8/25, 106, 55
2020/8/26, 109, 53
2020/8/27, 96, 56
2020/8/28, 103, 56
2020/8/29, 108, 57
2020/8/30, 109, 63
2020/8/31, 125, 55
2020/7/1, 141, 50
2020/7/2, 118, 57
2020/7/3, 129, 62
2020/7/4, 134, 59
2020/7/5, 118, 56
2020/7/6, 108, 46
2020/7/7, 109, 57
2020/7/8, 120, 51
2020/7/9, 105, 62
2020/7/10, 148, 56
2020/7/11, 129, 57
2020/7/12, 131, 60
2020/7/13, 135, 62
2020/7/14, 130, 43
2020/7/15, 90, 45
2020/7/16, 90, 54
2020/7/17, 109, 55
2020/7/18, 116, 63
2020/7/19, 144, 61
2020/7/20, 131, 53
2020/7/21, 115, 55
2020/7/22, 116, 55
2020/7/23, 128, 56
2020/7/24, 119, 62
2020/7/28, 124, 70
2020/7/29, 137, 56
2020/7/30, 125, 42
2020/7/31, 91, 59
2020/6/1, 111, 32
2020/6/2, 75, 36
2020/6/3, 85, 46
2020/6/4, 90, 59
2020/6/5, 142, 60
2020/6/6, 117, 
2020/6/7, 111, 52
2020/6/8, 114, 49
2020/6/9, 121, 63
2020/6/10, 137, 54
2020/6/11, 117, 43
2020/6/12, 107, 52
2020/6/13, 120, 55
2020/6/14, 134, 63
2020/6/15, 148, 56
2020/6/16, 112, 57
2020/6/17, 115, 55
2020/6/18, 125, 51
2020/6/19, 118, 58
2020/6/20, 124, 56
2020/6/21, 127, 60
2020/6/22, 128, 48
2020/6/23, 100, 49
2020/6/24, 115, 68
2020/6/25, 134, 68
2020/6/26, 143, 64
2020/6/27, 142, 65
2020/6/28, 149, 68
2020/6/29, 149, 73
2020/6/30, 149, 72
2020/5/1, 92, 38
2020/5/2, 70, 41
2020/5/3, 106, 41
2020/5/4, 105, 36
2020/5/5, 86, 37
2020/5/6, 91, 47
2020/5/7, 109, 55
2020/5/8, 139, 44
2020/5/9, 112, 40
2020/5/10, 104, 37
2020/5/11, 86, 40
2020/5/12, 89, 46
2020/5/13, 109, 53
